标签,定义文件,是否被引用
eq:arb,sec03_p1.tex,否
eq:balance,sec02_assumptions.tex,是
eq:bounds,sec02_assumptions.tex,是
eq:identity,sec02_assumptions.tex,是
eq:mutex,sec02_assumptions.tex,是
eq:p1-cons,sec03_p1.tex,否
eq:p1-obj,sec03_p1.tex,否
eq:p2-calib,sec04_p2.tex,否
eq:p2-cost,sec04_p2.tex,是
eq:p2-cu,sec04_p2.tex,否
eq:p2-margin,sec04_p2.tex,是
eq:p2-newsvendor,sec04_p2.tex,是
eq:p2-saa,sec04_p2.tex,是
eq:p2-sub,sec04_p2.tex,是
eq:p3-cons,sec05_p3.tex,否
eq:p3-median,sec05_p3.tex,是
eq:p3-phi,sec05_p3.tex,是
eq:p3-stage,sec05_p3.tex,是
eq:p3-sym,sec05_p3.tex,是
eq:p3-value,sec05_p3.tex,是
eq:p4-2,sec06_p4.tex,是
eq:p4-3,sec06_p4.tex,是
eq:p4-foc,sec06_p4.tex,是
eq:p4-qstar,sec06_p4.tex,是
eq:p4-robust,sec06_p4.tex,是
eq:p4-sp,sec06_p4.tex,否
eq:p4-weighted,sec06_p4.tex,否
eq:soc,sec02_assumptions.tex,是
eq:sum-balance,sec06b_formulas.tex,是
eq:sum-bounds,sec06b_formulas.tex,否
eq:sum-identity,sec06b_formulas.tex,否
eq:sum-margin,sec06b_formulas.tex,否
eq:sum-median,sec06b_formulas.tex,否
eq:sum-p2cost,sec06b_formulas.tex,否
eq:sum-p4,sec06b_formulas.tex,否
eq:sum-penalty,sec06b_formulas.tex,否
eq:sum-qstar,sec06b_formulas.tex,否
eq:sum-threshold,sec06b_formulas.tex,否
eq:sum-value,sec06b_formulas.tex,否
eq:terminal,sec02_assumptions.tex,是
eq:threshold,sec02_assumptions.tex,是
fig:data-overview,sec01_intro.tex,是
fig:fourdays,sec01_intro.tex,是
fig:monthly,sec01_intro.tex,否
fig:p1-plan,sec03_p1.tex,否
fig:p1-sens,sec03_p1.tex,是
fig:p1-threshold,sec03_p1.tex,是
fig:p2-margin,sec04_p2.tex,是
fig:p2-month,sec04_p2.tex,是
fig:p2-pred,sec04_p2.tex,是
fig:p2-value,sec04_p2.tex,是
fig:p3-pol,sec05_p3.tex,是
fig:p3-rev,sec05_p3.tex,是
fig:p4-forecast,sec06_p4.tex,否
fig:p4-month,sec06_p4.tex,是
fig:p4-pol,sec06_p4.tex,是
fig:p4-price,sec06_p4.tex,是
sec:ai_declaration,sec09_refs_ai.tex,否
sec:boundary,sec04_p2.tex,是
sec:intro,sec01_intro.tex,否
sec:references,sec09_refs_ai.tex,否
sec:validation,sec07_validation.tex,是
tab:attachments,sec01_intro.tex,否
tab:fc-acc,sec05_p3.tex,是
tab:filelist,sec10_appendix.tex,是
tab:p1-sens,sec03_p1.tex,是
tab:p1-t1,sec03_p1.tex,否
tab:p1-t2,sec03_p1.tex,是
tab:p2-margin,sec04_p2.tex,否
tab:p2-month,sec04_p2.tex,是
tab:p2-pred,sec04_p2.tex,是
tab:p2-summary,sec04_p2.tex,是
tab:p3-pol,sec05_p3.tex,是
tab:p4-month,sec06_p4.tex,是
tab:p4-pred,sec06_p4.tex,是
tab:p4-summary,sec06_p4.tex,是
tab:problems,sec01_intro.tex,否
tab:sens-dev,sec07_validation.tex,是
tab:sens-k,sec07_validation.tex,是
tab:stats,sec01_intro.tex,是
tab:symbols,sec02_assumptions.tex,是
tab:verify,sec07_validation.tex,是
