核对项,论文值,来源值,偏差%,判定,来源
问题1 全天购电费,35101.57,35101.6,0.0,PASS,表1_问题1.csv
问题1 全天购电量,59482.70,59482.7,0.0,PASS,表1_问题1.csv
问题1 无储能基线,48052.05,48052,0.0,PASS,附件1 独立复算
问题1 储能节省,12950.48,12950.5,0.0,PASS,附件1 独立复算
问题2 计划购电费,15347789.64,1.53478e+07,0.0,PASS,问题2_月度费用汇总.csv
问题2 紧急购电费,1300195.25,1.3002e+06,0.0,PASS,问题2_月度费用汇总.csv
问题2 总费用,16647984.89,1.6648e+07,0.0,PASS,问题2_月度费用汇总.csv
问题2 紧急购电量,275907.99,275908,0.0,PASS,问题2_月度费用汇总.csv
问题2 无裕度对照,21611681.31,2.16117e+07,0.0,PASS,问题2_结果.npz cost0
问题2 裕度节省,4963696.42,4.9637e+06,0.0,PASS,npz cost0 − 合计
问题2 完美信息下界,12229643.06,1.22296e+07,0.0,PASS,问题2_结果.npz costP
问题2 最优裕度 α,0.15,0.15,0.0,PASS,问题2_裕度标定.csv 首行
负载预测 RMSE(7日均),955.9,955.925,0.0026,PASS,问题2_预测器精度.csv
光伏预测 MAE(EWMA),150.1,150.148,0.0321,PASS,问题2_预测器精度.csv
问题3 P0 总费用,21252227,2.12522e+07,0.0,PASS,问题3_策略对比.csv
问题3 P3 总费用,21369474.67,2.13695e+07,0.0,PASS,问题3_策略对比.csv
问题3 P4 总费用,21385247,2.13852e+07,0.0,PASS,问题3_策略对比.csv
问题3 完美光伏信息费用,19249721,1.92497e+07,0.0,PASS,问题3_策略对比.csv（计划+紧急，不计违约费）
问题3 完美负载信息费用,16048332,1.60483e+07,0.0,PASS,问题3_策略对比.csv（计划+紧急）
问题3 完美信息费用,14324819,1.43248e+07,0.0,PASS,问题3_策略对比.csv
完美光伏信息价值(万元),200.25,200.251,0.0003,PASS,问题3_更新边际价值.csv
完美负载信息价值(万元),520.39,520.39,0.0001,PASS,问题3_更新边际价值.csv
完美信息价值(万元),902.26,902.258,0.0002,PASS,问题3_更新边际价值.csv
预报修订 MAE(0:00→6:00),279.5,279.481,0.0069,PASS,问题3_预报修订幅度.csv
预报修订 MAE(6:00→12:00),120.0,120.024,0.0201,PASS,问题3_预报修订幅度.csv
问题3 紧急购电量(万kWh),169.97,169.97,0.0003,PASS,问题3_结果.npz EM3
问题4-2 总费用,20345866.93,2.03459e+07,0.0,PASS,问题4_结果.npz
问题4-2 紧急购电量,1391491.14,1.39149e+06,0.0,PASS,问题4_结果.npz EM42
问题4-2 计划购电费,13752204.93,1.37522e+07,0.0,PASS,问题4_结果.npz plan42
问题4-2 紧急购电费,6593662.00,6.59366e+06,0.0,PASS,问题4_结果.npz emg42
问题4-2 无裕度对照,20952588.33,2.09526e+07,0.0,PASS,问题4_结果.npz c42_0
问题4-3 P3 总费用,22244432.98,2.22444e+07,0.0,PASS,问题4_4-3策略对比.csv
问题4-3 P0 总费用,22071537.66,2.20715e+07,0.0,PASS,问题4_4-3策略对比.csv
电价预测 MAE(7日均),0.0827,0.0826693,0.0372,PASS,问题4_电价预测精度.csv
灵敏度 η=0.85 变化%,4.12,4.12132,0.0321,PASS,论文/图/灵敏度_问题1.csv
灵敏度 η=0.95 变化%,3.83,3.8329,0.0756,PASS,论文/图/灵敏度_问题1.csv
灵敏度 电量下限 变化%,2.60,2.59983,0.0067,PASS,论文/图/灵敏度_问题1.csv
紧急费率 K=5 总费用,16647985,1.6648e+07,0.0,PASS,论文/图/灵敏度_问题2_费率.csv
对称违约费率 P3,21531999,2.1532e+07,0.0,PASS,论文/图/灵敏度_问题3_费率.csv
独立验算 PASS 项数,40,40,0.0,PASS,phase25_验算明细.csv
