日期,时段,计划购电量kWh,调整购电量kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,910.38,697.18
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,838.71,814.36
2025-03-20,18:00-18:10,718.93,718.93
2025-03-20,20:00-20:10,13.11,13.11
2025-03-20,全天购电量(计划),73074.71,69018.47
2025-03-20,"全天购电费(元, 计划/调整)",45250.72,42703.36
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,283.43,283.43
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-06-21,全天购电量(计划),36087.2,36228.85
2025-06-21,"全天购电费(元, 计划/调整)",21379.6,21451.77
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,643.06,578.18
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,873.8,848.21
2025-09-23,18:00-18:10,779.72,779.72
2025-09-23,20:00-20:10,123.96,123.96
2025-09-23,全天购电量(计划),74519.34,72237.81
2025-09-23,"全天购电费(元, 计划/调整)",47134.03,45775.63
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,653.18,720.51
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,638.24,638.24
2025-12-21,18:00-18:10,0.0,0.0
2025-12-21,20:00-20:10,0.0,0.0
2025-12-21,全天购电量(计划),50983.37,50721.13
2025-12-21,"全天购电费(元, 计划/调整)",27101.04,27119.71
