日期,紧急购电时间段,紧急购电量kWh
2025-03-20,1:00-1:20,40.26
2025-03-20,3:50-4:00,6.42
2025-03-20,5:00-5:20,10.12
2025-03-20,6:00-6:50,627.1
2025-03-20,7:00-7:50,595.32
2025-03-20,8:00-9:30,1257.9
2025-03-20,9:40-10:00,47.5
2025-03-20,18:50-19:00,2.58
2025-03-20,20:00-20:20,2.71
2025-03-20,23:30-23:40,37.13
2025-06-21,0:10-0:30,124.81
2025-06-21,0:50-1:00,9.18
2025-06-21,1:50-2:30,74.41
2025-06-21,2:50-3:30,71.8
2025-06-21,4:50-5:50,279.23
2025-06-21,6:00-6:50,594.15
2025-06-21,7:00-7:20,85.21
2025-06-21,18:50-19:10,122.0
2025-06-21,20:10-20:40,67.55
2025-06-21,22:10-22:20,17.66
2025-06-21,23:50-24:00,40.61
2025-09-23,3:50-4:00,7.23
2025-09-23,4:30-4:40,3.0
2025-09-23,6:00-6:40,503.78
2025-09-23,7:00-7:50,739.45
2025-09-23,8:00-8:50,574.34
2025-09-23,9:00-9:20,72.4
2025-09-23,10:00-10:10,3.39
2025-09-23,15:50-16:00,11.07
2025-09-23,18:10-18:20,4.42
2025-09-23,18:30-18:50,59.52
2025-09-23,19:10-19:30,45.71
2025-09-23,20:20-20:30,17.72
2025-09-23,20:50-21:00,47.4
2025-09-23,22:10-22:20,2.04
2025-12-21,0:50-5:30,3632.16
2025-12-21,5:40-11:50,15246.71
2025-12-21,12:40-15:00,3039.32
2025-12-21,15:10-21:50,12188.05
2025-12-21,22:10-22:20,126.84
2025-12-21,22:40-22:50,86.99
2025-12-21,23:00-23:20,299.14
2025-12-21,23:30-23:50,285.68
