日期,紧急购电时间段,紧急购电量kWh
2025-03-20,0:20-0:30,42.28
2025-03-20,6:00-6:50,427.06
2025-03-20,7:00-7:40,436.41
2025-03-20,8:00-9:20,791.52
2025-06-21,0:10-0:30,78.36
2025-06-21,1:50-2:10,24.56
2025-06-21,2:50-3:00,5.93
2025-06-21,5:00-5:30,167.13
2025-06-21,6:00-6:50,485.75
2025-06-21,7:00-7:20,85.21
2025-06-21,18:50-19:10,65.44
2025-06-21,20:20-20:30,14.39
2025-06-21,23:50-24:00,13.68
2025-09-23,6:00-6:40,343.79
2025-09-23,7:00-7:40,538.91
2025-09-23,8:00-8:40,325.29
2025-09-23,10:00-10:10,3.39
2025-09-23,18:30-18:40,1.68
2025-09-23,20:50-21:00,8.26
2025-09-23,22:20-22:30,23.98
2025-12-21,0:30-1:20,411.05
2025-12-21,1:40-2:10,209.85
2025-12-21,2:20-11:00,15479.8
2025-12-21,11:10-11:30,605.22
2025-12-21,11:40-11:50,164.71
2025-12-21,12:50-14:50,2517.95
2025-12-21,15:10-21:50,11211.18
2025-12-21,22:10-22:20,106.65
2025-12-21,22:50-23:10,216.55
2025-12-21,23:20-23:50,345.16
