负载预测器,光伏预测器,alpha,beta,total_cost_jan,avg_daily
7日均,"EWMA(0.7,14)",0.15,0.0,1524501.8300778198,63520.90958657582
7日均,"EWMA(0.7,14)",0.12,0.06,1528941.4714452433,63705.89464355181
7日均,"EWMA(0.7,14)",0.12,0.0,1529084.4201799035,63711.85084082931
7日均,"EWMA(0.7,14)",0.15,0.06,1547144.1203989442,64464.33834995601
7日均,"EWMA(0.7,14)",0.12,0.12,1555544.160122113,64814.340005088045
7日均,"EWMA(0.7,14)",0.18,0.0,1557444.3679881063,64893.515332837764
7日均,"EWMA(0.7,14)",0.09,0.06,1558554.0506021501,64939.75210842292
7日均,"EWMA(0.7,14)",0.09,0.12,1565991.1573728963,65249.63155720401
7日均,"EWMA(0.7,14)",0.15,0.12,1584545.4485270674,66022.72702196114
7日均,"EWMA(0.7,14)",0.09,0.0,1586073.8675087215,66086.41114619673
7日均,"EWMA(0.7,14)",0.18,0.06,1592622.92112524,66359.28838021834
7日均,"EWMA(0.7,14)",0.12,0.18,1592785.6062713754,66366.06692797398
7日均,"EWMA(0.7,14)",0.09,0.18,1594200.4106875465,66425.0171119811
7日均,"EWMA(0.7,14)",0.21,0.0,1610909.0238271137,67121.20932612974
7日均,"EWMA(0.7,14)",0.06,0.12,1619579.0882254404,67482.46200939335
7日均,"EWMA(0.7,14)",0.15,0.18,1625670.8885571233,67736.28702321347
7日均,"EWMA(0.7,14)",0.06,0.18,1632809.8538767232,68033.74391153014
7日均,"EWMA(0.7,14)",0.18,0.12,1633534.627040595,68063.94279335813
7日均,"EWMA(0.7,14)",0.06,0.06,1637450.8104040218,68227.11710016757
7日均,"EWMA(0.7,14)",0.21,0.06,1650989.126082549,68791.21358677288
7日均,"EWMA(0.7,14)",0.24,0.0,1672700.3448412714,69695.84770171964
7日均,"EWMA(0.7,14)",0.18,0.18,1675567.272679556,69815.30302831483
7日均,"EWMA(0.7,14)",0.06,0.0,1685114.7291491372,70213.11371454738
7日均,"EWMA(0.7,14)",0.21,0.12,1693040.0152107466,70543.33396711443
7日均,"EWMA(0.7,14)",0.03,0.18,1698855.0010587298,70785.62504411374
7日均,"EWMA(0.7,14)",0.03,0.12,1706382.077419996,71099.25322583316
7日均,"EWMA(0.7,14)",0.24,0.06,1714363.6390617322,71431.81829423884
7日均,"EWMA(0.7,14)",0.21,0.18,1735272.131707481,72303.00548781171
7日均,"EWMA(0.7,14)",0.03,0.06,1746540.5081491037,72772.52117287932
7日均,"EWMA(0.7,14)",0.24,0.12,1756589.902514146,73191.24593808941
