日期,时段,购电量kWh
2025-03-20,10:00-10:10,0.0
2025-03-20,12:00-12:10,638.82
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,493.21
2025-03-20,18:00-18:10,717.02
2025-03-20,20:00-20:10,0.0
2025-03-20,全天购电量,68274.53
2025-03-20,全天购电费(计划),40978.67
2025-03-20,全天紧急购电量,807.33
2025-03-20,全天紧急购电费,3813.31
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,880.22
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,614.58
2025-06-21,18:00-18:10,739.32
2025-06-21,20:00-20:10,178.66
2025-06-21,全天购电量,78715.98
2025-06-21,全天购电费(计划),48447.98
2025-06-21,全天紧急购电量,0.0
2025-06-21,全天紧急购电费,0.0
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,539.96
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,526.31
2025-09-23,18:00-18:10,808.65
2025-09-23,20:00-20:10,85.47
2025-09-23,全天购电量,67098.43
2025-09-23,全天购电费(计划),41557.05
2025-09-23,全天紧急购电量,1539.24
2025-09-23,全天紧急购电费,7122.54
2025-12-21,10:00-10:10,0.0
2025-12-21,12:00-12:10,1025.37
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,822.91
2025-12-21,18:00-18:10,722.4
2025-12-21,20:00-20:10,0.0
2025-12-21,全天购电量,97032.57
2025-12-21,全天购电费(计划),61479.6
2025-12-21,全天紧急购电量,694.32
2025-12-21,全天紧急购电费,3218.26
