日期,时段,计划购电量kWh,调整购电量kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,959.97,746.78
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,888.57,864.22
2025-03-20,18:00-18:10,3.17,3.17
2025-03-20,20:00-20:10,799.45,799.45
2025-03-20,全天计划购电量,79289.24,75255.6
2025-03-20,"全天购电费(实际电价结算,元)",50824.1,48048.4
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,316.79,316.79
2025-06-21,18:00-18:10,681.72,681.69
2025-06-21,20:00-20:10,0.0,0.0
2025-06-21,全天计划购电量,38842.1,38983.75
2025-06-21,"全天购电费(实际电价结算,元)",20195.15,20234.51
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,691.56,626.68
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,925.63,900.04
2025-09-23,18:00-18:10,66.85,66.85
2025-09-23,20:00-20:10,165.57,165.57
2025-09-23,全天计划购电量,80837.73,78594.33
2025-09-23,"全天购电费(实际电价结算,元)",53874.59,52390.03
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,685.67,752.99
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,668.63,668.63
2025-12-21,18:00-18:10,0.0,0.0
2025-12-21,20:00-20:10,0.0,0.0
2025-12-21,全天计划购电量,55121.55,54825.46
2025-12-21,"全天购电费(实际电价结算,元)",33466.01,33378.24
