日期,时间段,充电量kWh,放电量kWh
2025-03-20,0:00-4:00,4407.41,0.0
2025-03-20,4:00-8:00,925.93,5965.95
2025-03-20,8:00-12:00,5795.34,2674.05
2025-03-20,12:00-16:00,5271.9,324.46
2025-03-20,16:00-20:00,0.0,5673.71
2025-03-20,20:00-24:00,5333.33,2966.29
2025-03-20,0:00储电量,6000.0,
2025-03-20,24:00储电量,6000.0,
2025-06-21,0:00-4:00,4407.41,0.0
2025-06-21,4:00-8:00,925.93,5668.1
2025-06-21,8:00-12:00,6559.56,2669.66
2025-06-21,12:00-16:00,5369.35,1324.66
2025-06-21,16:00-20:00,0.0,5640.0
2025-06-21,20:00-24:00,5333.33,3000.0
2025-06-21,0:00储电量,6000.0,
2025-06-21,24:00储电量,6000.0,
2025-09-23,0:00-4:00,4407.41,0.0
2025-09-23,4:00-8:00,925.93,6856.42
2025-09-23,8:00-12:00,4852.17,1783.58
2025-09-23,12:00-16:00,5879.49,52.65
2025-09-23,16:00-20:00,0.0,5640.0
2025-09-23,20:00-24:00,5333.33,3000.0
2025-09-23,0:00储电量,6000.0,
2025-09-23,24:00储电量,6000.0,
2025-12-21,0:00-4:00,4407.41,0.0
2025-12-21,4:00-8:00,1851.85,1500.0
2025-12-21,8:00-12:00,6481.48,7890.0
2025-12-21,12:00-16:00,7634.19,2793.7
2025-12-21,16:00-20:00,0.0,5640.31
2025-12-21,20:00-24:00,5333.33,2999.69
2025-12-21,0:00储电量,6000.0,
2025-12-21,24:00储电量,6000.0,
