日期,时间段,充电量kWh,放电量kWh
2025-03-20,0:00-4:00,4407.41,0.0
2025-03-20,4:00-8:00,925.93,6523.91
2025-03-20,8:00-12:00,5527.58,2116.09
2025-03-20,12:00-16:00,6774.8,1324.93
2025-03-20,16:00-20:00,0.0,7140.0
2025-03-20,20:00-24:00,5333.33,1500.0
2025-03-20,0:00储电量,6000.0,
2025-03-20,24:00储电量,6000.0,
2025-06-21,0:00-4:00,0.0,3818.45
2025-06-21,4:00-8:00,925.93,1251.55
2025-06-21,8:00-12:00,4203.28,0.0
2025-06-21,12:00-16:00,6431.9,0.0
2025-06-21,16:00-20:00,31.49,6014.18
2025-06-21,20:00-24:00,5333.33,2625.82
2025-06-21,0:00储电量,6000.0,
2025-06-21,24:00储电量,6000.0,
2025-09-23,0:00-4:00,2555.56,0.0
2025-09-23,4:00-8:00,2777.78,6560.61
2025-09-23,8:00-12:00,6480.56,2079.39
2025-09-23,12:00-16:00,6037.96,1500.0
2025-09-23,16:00-20:00,0.0,6390.0
2025-09-23,20:00-24:00,5333.33,2250.0
2025-09-23,0:00储电量,6000.0,
2025-09-23,24:00储电量,6000.0,
2025-12-21,0:00-4:00,5333.33,0.0
2025-12-21,4:00-8:00,0.0,6763.46
2025-12-21,8:00-12:00,4456.81,879.19
2025-12-21,12:00-16:00,6282.28,1056.01
2025-12-21,16:00-20:00,0.0,6113.27
2025-12-21,20:00-24:00,5333.33,2526.73
2025-12-21,0:00储电量,6000.0,
2025-12-21,24:00储电量,6000.0,
