日期,紧急购电时间段,紧急购电量kWh
2025-03-20,1:10-1:20,3.42
2025-03-20,5:50-6:00,2.83
2025-03-20,8:10-8:30,62.09
2025-03-20,8:50-9:10,20.4
2025-03-20,9:40-10:00,77.37
2025-03-20,14:10-14:20,0.19
2025-03-20,15:10-17:40,534.58
2025-03-20,18:40-19:10,52.38
2025-03-20,20:00-20:20,41.46
2025-03-20,21:10-21:30,12.14
2025-03-20,23:30-23:40,0.45
2025-06-21,无,0.0
2025-09-23,6:00-6:40,57.12
2025-09-23,7:00-7:10,1.78
2025-09-23,7:40-8:50,149.38
2025-09-23,9:10-9:50,77.45
2025-09-23,10:00-10:10,3.39
2025-09-23,14:20-15:30,669.16
2025-09-23,15:50-17:50,483.79
2025-09-23,18:20-18:40,37.14
2025-09-23,19:20-19:30,9.12
2025-09-23,20:10-20:30,18.95
2025-09-23,20:50-21:00,31.95
2025-12-21,3:30-3:50,27.3
2025-12-21,5:50-6:00,9.65
2025-12-21,6:20-6:30,16.39
2025-12-21,7:50-8:00,4.43
2025-12-21,8:20-8:30,18.44
2025-12-21,10:20-10:50,265.57
2025-12-21,12:50-13:10,103.57
2025-12-21,14:40-14:50,5.59
2025-12-21,15:30-15:40,1.71
2025-12-21,15:50-16:00,13.86
2025-12-21,16:20-16:30,5.32
2025-12-21,16:50-17:40,162.58
2025-12-21,18:40-19:00,12.28
2025-12-21,19:50-20:00,47.62
