日期,紧急购电时间段,紧急购电量kWh
2025-03-20,0:20-0:40,71.88
2025-03-20,3:50-4:00,6.42
2025-03-20,5:00-5:20,10.17
2025-03-20,9:50-10:00,5.17
2025-03-20,15:30-16:20,108.14
2025-03-20,18:50-19:00,2.58
2025-03-20,20:00-20:20,2.71
2025-06-21,0:10-0:30,124.81
2025-06-21,0:50-1:00,9.18
2025-06-21,1:50-2:30,74.41
2025-06-21,2:50-3:30,71.8
2025-06-21,4:50-5:10,13.08
2025-06-21,5:40-6:20,86.7
2025-06-21,18:30-19:10,141.18
2025-06-21,20:10-20:40,67.55
2025-06-21,22:30-22:40,11.17
2025-06-21,23:50-24:00,40.61
2025-09-23,3:50-4:00,7.23
2025-09-23,9:30-9:50,48.06
2025-09-23,10:00-10:10,3.39
2025-09-23,14:20-14:50,252.5
2025-09-23,15:00-15:20,43.98
2025-09-23,15:50-16:20,80.54
2025-09-23,18:10-18:20,5.27
2025-09-23,18:30-18:50,59.59
2025-09-23,19:10-19:30,45.72
2025-09-23,20:20-20:30,17.72
2025-09-23,20:50-21:00,47.4
2025-09-23,22:10-22:30,54.35
2025-12-21,0:30-1:20,524.93
2025-12-21,1:40-2:10,284.99
2025-12-21,2:20-11:00,14409.25
2025-12-21,11:10-11:30,427.39
2025-12-21,12:40-21:50,17792.12
2025-12-21,22:10-22:20,126.84
2025-12-21,22:50-23:10,260.22
2025-12-21,23:20-23:50,408.39
