时段,起(h),电价,负载kW,光伏kW,购电量kWh,充电量kWh,放电量kWh,弃光kWh,储电量kWh
1,0.0,0.4248,3439.8466,0.0,1499.2336925925924,925.9259259259259,0.0,0.0,6833.333333333333
2,0.16666666666666666,0.4245,3437.9792,0.0,1498.922459259259,925.9259259259259,0.0,0.0,7666.666666666666
3,0.3333333333333333,0.4269,3444.3031,0.0,1499.9764425925925,925.9259259259259,0.0,0.0,8500.0
4,0.5,0.4272,3454.4437,0.0,1279.444320370369,703.7037037037023,0.0,0.0,9133.333333333332
5,0.6666666666666666,0.4271,3458.8273,0.0,1502.3971425925924,925.9259259259259,0.0,0.0,9966.666666666666
6,0.8333333333333334,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,0.0,9966.666666666666
7,1.0,0.4311,3467.1582,0.0,577.8597,0.0,0.0,0.0,9966.666666666666
8,1.1666666666666667,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,0.0,9966.666666666666
9,1.3333333333333333,0.4279,3466.9683,0.0,577.82805,0.0,0.0,0.0,9966.666666666666
10,1.5,0.4312,3482.4927,0.0,580.41545,0.0,0.0,0.0,9966.666666666666
11,1.6666666666666667,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,0.0,9966.666666666666
12,1.8333333333333333,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,0.0,9966.666666666666
13,2.0,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,0.0,9966.666666666666
14,2.1666666666666665,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,0.0,9966.666666666666
15,2.3333333333333335,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,0.0,9966.666666666666
16,2.5,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,0.0,9966.666666666666
17,2.6666666666666665,0.4335,3518.5518,0.0,586.4253,0.0,0.0,0.0,9966.666666666666
18,2.8333333333333335,0.4357,3521.0976,0.0,586.8496,0.0,0.0,0.0,9966.666666666666
19,3.0,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,0.0,9966.666666666666
20,3.1666666666666665,0.4371,3537.2854,0.0,589.5475666666666,0.0,0.0,0.0,9966.666666666666
21,3.3333333333333335,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,0.0,9966.666666666666
22,3.5,0.4353,3541.2787,0.0,590.2131166666666,0.0,0.0,0.0,9966.666666666666
23,3.6666666666666665,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,0.0,9966.666666666666
24,3.8333333333333335,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,0.0,9966.666666666666
25,4.0,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,0.0,9966.666666666666
26,4.166666666666667,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,0.0,9966.666666666666
27,4.333333333333333,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,0.0,9966.666666666666
28,4.5,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,0.0,9966.666666666666
29,4.666666666666667,0.4422,3586.916,0.2345,597.78025,0.0,0.0,0.0,9966.666666666666
30,4.833333333333333,0.4395,3571.2635,0.2885,595.1624999999999,0.0,0.0,0.0,9966.666666666666
31,5.0,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,0.0,9966.666666666666
32,5.166666666666667,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,0.0,9966.666666666666
33,5.333333333333333,0.4301,3579.7045,108.9718,578.4554499999999,0.0,0.0,0.0,9966.666666666666
34,5.5,0.3713,3486.119,184.1603,1476.2523759259257,925.9259259259259,0.0,0.0,10800.0
35,5.666666666666667,0.5708,3823.8994,277.0582,591.1401999999999,0.0,-0.0,0.0,10800.0
36,5.833333333333333,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333332,0.0,10057.495685185186
37,6.0,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333333,0.0,9329.211981481481
38,6.166666666666667,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,0.0,8644.2075
39,6.333333333333333,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,0.0,7987.035851851852
40,6.5,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,0.0,7367.606000000001
41,6.666666666666667,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,0.0,6779.561888888889
42,6.833333333333333,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,0.0,6221.261092592593
43,7.0,0.8092,4524.0721,1791.4107,0.0,0.0,455.4435666666667,0.0,5715.212685185185
44,7.166666666666667,0.7972,4545.8867,2085.4865,0.0,0.0,410.0667,0.0,5259.583018518519
45,7.333333333333333,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,0.0,4862.919925925926
46,7.5,0.6899,4383.3566,2683.1752,0.0,0.0,283.36356666666666,0.0,4548.071518518518
47,7.666666666666667,0.86,4910.4599,2986.3552,0.0,0.0,320.68411666666657,0.0,4191.755833333333
48,7.833333333333333,1.1617,5799.7327,3289.204,0.0,0.0,418.42144999999994,0.0,3726.8431111111104
49,8.0,1.1683,5884.826,3593.3613,0.0,0.0,381.91078333333326,0.0,3302.4977962962957
50,8.166666666666666,1.0956,5748.0713,3890.7332,0.0,0.0,309.55634999999995,0.0,2958.5462962962956
51,8.333333333333334,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,0.0,2664.52474074074
52,8.5,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,0.0,2427.0349629629623
53,8.666666666666666,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666673,0.0,2228.6361666666658
54,8.833333333333334,1.036,5954.2601,5021.9074,0.0,0.0,155.39211666666677,0.0,2055.9782592592583
55,9.0,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,0.0,1931.2454814814803
56,9.166666666666666,0.9922,5929.5554,5543.1742,0.0,0.0,64.3968666666666,0.0,1859.6934074074063
57,9.333333333333334,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,0.0,1834.6242407407397
58,9.5,0.9422,5907.586,6012.1304,0.0,17.424066666666587,0.0,0.0,1850.3059007407396
59,9.666666666666666,0.9569,5899.1262,6216.1528,0.0,52.83776666666654,0.0,0.0,1897.8598907407395
60,9.833333333333334,0.9977,5902.2196,6409.5941,0.0,84.56241666666664,0.0,0.0,1973.9660657407394
61,10.0,0.9919,5897.4793,6599.3808,0.0,116.98358333333339,0.0,0.0,2079.2512907407395
62,10.166666666666666,0.9588,5886.7568,6766.7204,0.0,146.66060000000002,0.0,0.0,2211.2458307407396
63,10.333333333333334,0.9549,5873.4708,6914.5923,0.0,173.52024999999992,0.0,0.0,2367.4140557407395
64,10.5,0.9839,5858.0308,7064.2053,0.0,201.02908333333323,0.0,0.0,2548.3402307407396
65,10.666666666666666,0.799,5844.9948,7197.4315,0.0,225.40611666666652,0.0,0.0,2751.2057357407393
66,10.833333333333334,0.5025,5839.0587,7303.1142,0.0,244.00925000000004,0.0,0.0,2970.8140607407395
67,11.0,0.4662,5838.7103,7387.6848,198.89253251029515,457.0549491769619,0.0,0.0,3382.163515000005
68,11.166666666666666,0.5007,5823.4378,7459.227,0.0,272.6315333333332,0.0,0.0,3627.531895000005
69,11.333333333333334,0.4827,5814.7932,7520.7191,0.0,284.3209833333333,0.0,0.0,3883.420780000005
70,11.5,0.4785,5832.3951,7568.2039,0.0,289.3014666666667,0.0,0.0,4143.792100000005
71,11.666666666666666,0.4662,5712.901,7592.1539,612.7171092592591,925.9259259259259,0.0,0.0,4977.125433333338
72,11.833333333333334,0.4432,5519.4607,7601.0433,578.9954925925925,925.9259259259259,0.0,0.0,5810.458766666671
73,12.0,0.4411,5494.7907,7612.316,573.0050425925925,925.9259259259259,0.0,0.0,6643.792100000004
74,12.166666666666666,0.4551,5514.4524,7602.6524,577.8925925925926,925.9259259259259,0.0,0.0,7477.125433333337
