月份,天数,计划购电量kWh,计划购电费元,紧急购电量kWh,紧急购电费元,总费用元,紧急天数
2,28,2354138.6203398462,1452029.1209602258,8945.777123918848,43678.32822950724,1495707.449189733,20
3,31,2194090.0037265103,1321572.3882597391,17130.345294449842,82222.30521096634,1403794.6934707055,22
4,30,1802806.7499900179,1068867.1590507198,17134.668895609168,81563.36381002225,1150430.5228607422,22
5,31,1834890.4938886967,1111842.8839809222,21924.3660356344,106923.65236815927,1218766.5363490814,22
6,30,2305491.218415971,1416667.546107267,53995.03814290758,250711.51667107933,1667379.0627783462,22
7,31,2588585.961238835,1622281.5760865614,33105.52618038424,147987.16303125612,1770268.7391178175,23
8,31,2358340.847705058,1499923.5937312713,18271.882663371645,86760.12159427872,1586683.7153255502,21
9,30,1997458.070032994,1245394.6375001161,22911.30209868565,109400.591300867,1354795.2288009832,22
10,31,2088624.089415688,1275907.1465748614,25779.119791149606,124117.20489314815,1400024.3514680094,22
11,30,2375918.6428805375,1467186.494169998,27388.307859293916,131964.07792846506,1599150.572098463,21
12,31,2954001.216424834,1866117.0911244208,29321.657561792064,134866.9241000248,2000984.0152244456,23
合计,334,24854345.91405899,15347789.637546103,275907.99164719693,1300195.2491377743,16647984.886683878,240
