alpha,beta,total_cost_jan
0.05,0.0,2010322.8219254871
0.0,0.06,2027807.013231083
0.05,0.06,2034206.8244417112
0.0,0.0,2037073.6278467588
0.0,0.12,2046338.159217161
0.05,0.12,2062038.495364784
0.0,0.18,2070368.9989080522
0.1,0.0,2072162.0487716778
0.05,0.18,2087644.0702938293
0.1,0.06,2100397.1427555336
0.1,0.12,2127479.606678411
0.15,0.0,2146561.253018585
0.1,0.18,2153071.8524616165
0.15,0.06,2174619.535414272
0.15,0.12,2200340.888199664
0.2,0.0,2220953.4146988993
0.15,0.18,2223462.192770919
0.2,0.06,2247594.0958371917
0.2,0.12,2272263.565214315
0.2,0.18,2294539.142997296
0.25,0.0,2295264.7370221172
0.25,0.06,2321680.174255771
0.25,0.12,2344764.372290448
0.25,0.18,2366978.711056529
