月份,电价均值,4-2总费用,4-2紧急量kWh,4-3总费用,4-3紧急量kWh
2,0.7695711805555555,1861697.6769640276,121702.72121419189,2022449.5321647036,126449.78570639688
3,0.7255331989247312,1704599.4222122282,137279.1016284901,1872820.3803761823,144613.84620999993
4,0.698846412037037,1345121.250331788,100909.3104179998,1516991.526540569,110969.71219856663
5,0.6912003360215055,1350399.1331515664,97127.79970178388,1519134.911735926,104277.4012212833
6,0.7662756712962964,2004038.5534246413,156875.6892019487,2112018.65056639,138265.18258121418
7,0.8300811827956989,2227093.992066035,119971.4938790945,2386910.9559139023,112445.8908664553
8,0.7864659722222223,2010090.2595068929,128455.92953906688,2168781.178607246,123089.23783333329
9,0.7202801851851851,1563610.6056256213,109637.53369845336,1752676.259238368,112976.19419491765
10,0.7202710573476703,1619662.444661383,112706.34313484338,1829703.64823909,122092.7775572016
11,0.7610268287037038,2032516.18503414,161323.38085523067,2212375.6188630327,158994.06528285754
12,0.8617168234767024,2627037.4097521603,145501.8332118165,2850570.317040799,146388.60645479418
