scenario,fee,throughput,费用变化%
基准,35101.5675541555,18666.59951851852,0.0
$\eta=0.85$,36548.216616716105,19199.92890196079,4.121323243837127
$\eta=0.95$,33756.15981373527,18811.662912280703,-3.8328993095379764
功率 $4000$ kW,35327.89852740821,18510.80701851852,0.6447887915646969
功率 $6000$ kW,35056.72271529688,18769.48417425926,-0.1277573680703521
$E_{\min}=2400$,36014.14722880457,16901.22375925926,2.599825985666076
$E_{\max}=9600$,36008.473154730505,16901.22375925926,2.5836612543750586
$E_0=3000$,35125.19718378513,18666.599518518524,0.06731787574207736
$E_0=9000$,35093.43051711846,18666.599518518524,-0.023181406427186795
电价 $+10\%$,38611.72430957106,18666.59951851852,10.000000000000014
电价 $-10\%$,31591.410798739955,18666.59951851852,-9.999999999999993
